,year,team,rank_in_conf,wins,losses
0,1946,Chicago Stags,1,39,22
1,1946,St. Louis Bombers,2,38,23
2,1946,Cleveland Rebels,3,30,30
3,1946,Detroit Falcons,4,20,40
4,1946,Pittsburgh Ironmen,5,15,45
5,1946,Washington Capitols,1,49,11
6,1946,Philadelphia Warriors,2,35,25
7,1946,New York Knicks,3,33,27
8,1946,Providence Steamrollers,4,28,32
9,1946,Toronto Huskies,5,22,38
10,1946,Boston Celtics,6,22,38
11,1947,St. Louis Bombers,1,29,19
12,1947,Baltimore Bullets (1st),2,28,20
13,1947,Chicago Stags,3,28,20
14,1947,Washington Capitols,4,28,20
15,1947,Philadelphia Warriors,1,27,21
16,1947,New York Knicks,2,26,22
17,1947,Boston Celtics,3,20,28
18,1947,Providence Steamrollers,4,6,42
19,1948,Rochester Royals,1,45,15
20,1948,Minneapolis Lakers,2,44,16
21,1948,Chicago Stags,3,38,22
22,1948,St. Louis Bombers,4,29,31
23,1948,Fort Wayne Pistons,5,22,38
24,1948,Indianapolis Jets,6,18,42
25,1948,Washington Capitols,1,38,22
26,1948,New York Knicks,2,32,28
27,1948,Baltimore Bullets (1st),3,29,31
28,1948,Philadelphia Warriors,4,28,32
29,1948,Boston Celtics,5,25,35
30,1948,Providence Steamrollers,6,12,48
31,1949,Indianapolis Olympians,1,39,25
32,1949,Anderson Packers,2,37,27
33,1949,Tri-Cities Blackhawks,3,29,35
34,1949,Sheboygan Red Skins,4,22,40
35,1949,Waterloo Hawks,5,19,43
36,1949,Denver Nuggets (1st),6,11,51
37,1949,Syracuse Nationals,1,51,13
38,1949,New York Knicks,2,40,28
39,1949,Washington Capitols,3,32,36
40,1949,Philadelphia Warriors,4,26,42
41,1949,Baltimore Bullets (1st),5,25,43
42,1949,Boston Celtics,6,22,46
43,1949,Minneapolis Lakers,1,51,17
44,1949,Rochester Royals,2,51,17
45,1949,Fort Wayne Pistons,3,40,28
46,1949,Chicago Stags,4,40,28
47,1949,St. Louis Bombers,5,26,42
48,1950,Minneapolis Lakers,1,44,24
49,1950,Rochester Royals,2,41,27
50,1950,Fort Wayne Pistons,3,32,36
51,1950,Indianapolis Olympians,4,31,37
52,1950,Tri-Cities Blackhawks,5,25,43
53,1950,Philadelphia Warriors,1,40,26
54,1950,Boston Celtics,2,39,30
55,1950,New York Knicks,3,36,30
56,1950,Syracuse Nationals,4,32,34
57,1950,Baltimore Bullets (1st),5,24,42
58,1950,Washington Capitols,6,10,25
59,1951,Rochester Royals,1,41,25
60,1951,Minneapolis Lakers,2,40,26
61,1951,Indianapolis Olympians,3,34,32
62,1951,Fort Wayne Pistons,4,29,37
63,1951,Milwaukee Hawks,5,17,49
64,1951,Syracuse Nationals,1,40,26
65,1951,Boston Celtics,2,39,27
66,1951,New York Knicks,3,37,29
67,1951,Philadelphia Warriors,4,33,33
68,1951,Baltimore Bullets (1st),5,20,46
69,1952,Minneapolis Lakers,1,48,22
70,1952,Rochester Royals,2,44,26
71,1952,Fort Wayne Pistons,3,36,33
72,1952,Indianapolis Olympians,4,28,43
73,1952,Milwaukee Hawks,5,27,44
74,1952,New York Knicks,1,47,23
75,1952,Syracuse Nationals,2,47,24
76,1952,Boston Celtics,3,46,25
77,1952,Baltimore Bullets (1st),4,16,54
78,1952,Philadelphia Warriors,5,12,57
79,1953,Minneapolis Lakers,1,46,26
80,1953,Rochester Royals,2,44,28
81,1953,Fort Wayne Pistons,3,40,32
